# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
's Gravenmoer,Dongen,Noord-Brabant,51.66374,4.94268
's-Graveland,Wijdemeren,Noord-Holland,52.24223,5.13021
's-Gravendeel,Hoeksche Waard,Zuid-Holland,51.77064,4.60539
's-Gravenhage,'s-Gravenhage,Zuid-Holland,52.07207,4.29300
's-Gravenpolder,Borsele,Zeeland,51.45670,3.90355
's-Gravenzande,Westland,Zuid-Holland,51.99638,4.16262
's-Heer Abtskerke,Borsele,Zeeland,51.47307,3.86187
's-Heer Arendskerke,Goes,Zeeland,51.50014,3.79250
's-Heer Hendrikskinderen,Goes,Zeeland,51.50308,3.85821
's-Heerenberg,Montferland,Gelderland,51.87887,6.25230
's-Heerenbroek,Kampen,Overijssel,52.53585,6.00973
's-Heerenhoek,Borsele,Zeeland,51.45592,3.77349
's-Hertogenbosch,'s-Hertogenbosch,Noord-Brabant,51.70997,5.29571
't Goy,Houten,Utrecht,52.00343,5.22111
't Haantje,Coevorden,Drenthe,52.81017,6.82144
't Harde,Elburg,Gelderland,52.39874,5.87707
't Loo Oldebroek,Oldebroek,Gelderland,52.43181,5.96008
't Veld,Hollands Kroon,Noord-Holland,52.74602,4.85487
't Waar,Oldambt,Groningen,53.22537,6.94366
't Zand,Schagen,Noord-Holland,52.83386,4.75462
't Zandt,Eemsdelta,Groningen,53.37372,6.77240
1e Exloërmond,Borger-Odoorn,Drenthe,52.93276,6.94645
2e Exloërmond,Borger-Odoorn,Drenthe,52.91102,6.95505
2e Valthermond,Borger-Odoorn,Drenthe,52.89320,7.01725
Aadorp,Almelo,Overijssel,52.37587,6.62772
Aagtekerke,Veere,Zeeland,51.54055,3.50695
Aalden,Coevorden,Drenthe,52.79151,6.70342
Aalsmeer,Aalsmeer,Noord-Holland,52.26481,4.76025
Aalsmeerderbrug,Haarlemmermeer,Noord-Holland,52.27303,4.74823
Aalst,Zaltbommel,Gelderland,51.78457,5.13270
Aalsum,Noardeast-Fryslân,Fryslân,53.34154,6.00992
Aalten,Aalten,Gelderland,51.92759,6.57020
Aardenburg,Sluis,Zeeland,51.28701,3.44886
Aarlanderveen,Alphen aan den Rijn,Zuid-Holland,52.13256,4.72498
Aarle-Rixtel,Laarbeek,Noord-Brabant,51.51385,5.64941
Aartswoud,Opmeer,Noord-Holland,52.74678,4.96056
Abbega,Súdwest-Fryslân,Fryslân,53.01856,5.57230
Abbekerk,Medemblik,Noord-Holland,52.73197,5.01778
Abbenbroek,Nissewaard,Zuid-Holland,51.84118,4.22755
Abbenes,Haarlemmermeer,Noord-Holland,52.22914,4.59701
Abcoude,De Ronde Venen,Utrecht,52.27141,4.97259
Achlum,Waadhoeke,Fryslân,53.15238,5.49803
Achterveld,Barneveld,Gelderland,52.13933,5.51929
Achterveld,Leusden,Utrecht,52.14070,5.47879
Achthuizen,Goeree-Overflakkee,Zuid-Holland,51.67917,4.27786
Achtmaal,Zundert,Noord-Brabant,51.45482,4.57112
Acquoy,West Betuwe,Gelderland,51.89944,5.13501
Adorp,Het Hogeland,Groningen,53.27581,6.52842
Aduard,Westerkwartier,Groningen,53.25457,6.47090
Aerdenhout,Bloemendaal,Noord-Holland,52.36009,4.58946
Aerdt,Zevenaar,Gelderland,51.89860,6.07174
Afferden,Druten,Gelderland,51.88076,5.63560
Afferden L,Bergen (L),Limburg,51.64068,6.02786
Agelo,Dinkelland,Overijssel,52.38773,6.89090
Akersloot,Castricum,Noord-Holland,52.56320,4.73610
Akkrum,Heerenveen,Fryslân,53.05316,5.82718
Akmarijp,De Fryske Marren,Fryslân,53.00199,5.79677
Albergen,Tubbergen,Overijssel,52.36226,6.75033
Alblasserdam,Alblasserdam,Zuid-Holland,51.86465,4.66573
Alde Leie,Leeuwarden,Fryslân,53.28678,5.73321
Aldeboarn,Heerenveen,Fryslân,53.05059,5.90208
Aldtsjerk,Tytsjerksteradiel,Fryslân,53.26934,5.87502
Aldwâld,Noardeast-Fryslân,Fryslân,53.29426,6.11733
Alem,Maasdriel,Gelderland,51.78601,5.34814
Alkmaar,Alkmaar,Noord-Holland,52.63582,4.75118
Allingawier,Súdwest-Fryslân,Fryslân,53.04100,5.45178
Almelo,Almelo,Overijssel,52.35771,6.65988
Almen,Lochem,Gelderland,52.16247,6.29013
Almere,Almere,Flevoland,52.40247,5.20565
